Dataset,Classifier,Oversampling method,Metric,Mean CV score
glass6,GradientBoostingClassifier,ADASYN,geometric mean score,0.763175739458345
glass6,GradientBoostingClassifier,ADASYN,roc auc score,0.896412037037037
glass6,GradientBoostingClassifier,None,f1 score,0.26666666666666666
glass6,GradientBoostingClassifier,None,geometric mean score,0.2721655269759087
glass6,GradientBoostingClassifier,None,roc auc score,0.9085648148148147
glass6,GradientBoostingClassifier,RandomOverSampler,f1 score,0.3682539682539683
glass6,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.5793796150221909
glass6,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8229166666666666
glass6,GradientBoostingClassifier,SMOTE,f1 score,0.3621933621933622
glass6,GradientBoostingClassifier,SMOTE,geometric mean score,0.5775345520877643
glass6,GradientBoostingClassifier,SMOTE,roc auc score,0.8634259259259259
glass6,GradientBoostingClassifier,SMOTE2,f1 score,0.30505050505050507
glass6,GradientBoostingClassifier,SMOTE2,geometric mean score,0.5112586590022477
glass6,GradientBoostingClassifier,SMOTE2,roc auc score,0.8478009259259259
glass6,LogisticRegression,ADASYN,f1 score,0.30460358056265985
glass6,LogisticRegression,ADASYN,geometric mean score,0.7712330955582178
glass6,LogisticRegression,ADASYN,roc auc score,0.8778935185185187
glass6,LogisticRegression,None,f1 score,0.0
glass6,LogisticRegression,None,geometric mean score,0.0
glass6,LogisticRegression,None,roc auc score,0.8634259259259259
glass6,LogisticRegression,RandomOverSampler,f1 score,0.3250517598343685
glass6,LogisticRegression,RandomOverSampler,geometric mean score,0.777632359983616
glass6,LogisticRegression,RandomOverSampler,roc auc score,0.8796296296296295
glass6,LogisticRegression,SMOTE,f1 score,0.33999333999333997
glass6,LogisticRegression,SMOTE,geometric mean score,0.7851527183614571
glass6,LogisticRegression,SMOTE,roc auc score,0.8744212962962962
glass6,LogisticRegression,SMOTE2,f1 score,0.3433862433862434
glass6,LogisticRegression,SMOTE2,geometric mean score,0.7517158650890977
glass6,LogisticRegression,SMOTE2,roc auc score,0.8755787037037038
haberman,GradientBoostingClassifier,ADASYN,f1 score,0.45453434581478575
haberman,GradientBoostingClassifier,ADASYN,geometric mean score,0.608081460193381
haberman,GradientBoostingClassifier,ADASYN,roc auc score,0.6841152263374486
haberman,GradientBoostingClassifier,None,f1 score,0.3977519068647129
haberman,GradientBoostingClassifier,None,geometric mean score,0.5538081830978606
haberman,GradientBoostingClassifier,None,roc auc score,0.6634567901234568
haberman,GradientBoostingClassifier,RandomOverSampler,f1 score,0.38050682261208574
haberman,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.5393938778555253
haberman,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.6431275720164609
haberman,GradientBoostingClassifier,SMOTE,f1 score,0.43475572047000616
haberman,GradientBoostingClassifier,SMOTE,geometric mean score,0.5915192339950778
haberman,GradientBoostingClassifier,SMOTE,roc auc score,0.6885596707818928
haberman,GradientBoostingClassifier,SMOTE2,f1 score,0.4448628748438995
haberman,GradientBoostingClassifier,SMOTE2,geometric mean score,0.601818536165604
haberman,GradientBoostingClassifier,SMOTE2,roc auc score,0.6878189300411522
haberman,LogisticRegression,ADASYN,f1 score,0.4847883597883598
haberman,LogisticRegression,ADASYN,geometric mean score,0.6334870835684989
haberman,LogisticRegression,ADASYN,roc auc score,0.6946502057613168
haberman,LogisticRegression,None,f1 score,0.2442770211532889
haberman,LogisticRegression,None,geometric mean score,0.3740204415131407
haberman,LogisticRegression,None,roc auc score,0.6923456790123458
haberman,LogisticRegression,RandomOverSampler,f1 score,0.4963023088023088
haberman,LogisticRegression,RandomOverSampler,geometric mean score,0.633842405008223
haberman,LogisticRegression,RandomOverSampler,roc auc score,0.70238683127572
haberman,LogisticRegression,SMOTE,f1 score,0.5038239538239537
haberman,LogisticRegression,SMOTE,geometric mean score,0.6405570406248291
haberman,LogisticRegression,SMOTE,roc auc score,0.6984362139917696
haberman,LogisticRegression,SMOTE2,f1 score,0.4932275132275132
haberman,LogisticRegression,SMOTE2,geometric mean score,0.6416611417180023
haberman,LogisticRegression,SMOTE2,roc auc score,0.6918518518518518
haberman10,GradientBoostingClassifier,ADASYN,f1 score,0.1619047619047619
haberman10,GradientBoostingClassifier,ADASYN,geometric mean score,0.4139223907376272
haberman10,GradientBoostingClassifier,ADASYN,roc auc score,0.7933333333333333
haberman10,GradientBoostingClassifier,None,f1 score,0.0
haberman10,GradientBoostingClassifier,None,geometric mean score,0.0
haberman10,GradientBoostingClassifier,None,roc auc score,0.8155555555555555
haberman10,GradientBoostingClassifier,RandomOverSampler,f1 score,0.11111111111111112
haberman10,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.2309401076758503
haberman10,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.7607407407407408
haberman10,GradientBoostingClassifier,SMOTE,f1 score,0.2888888888888889
haberman10,GradientBoostingClassifier,SMOTE,geometric mean score,0.6895127663776318
haberman10,GradientBoostingClassifier,SMOTE,roc auc score,0.7985185185185184
haberman10,GradientBoostingClassifier,SMOTE2,f1 score,0.11111111111111112
haberman10,GradientBoostingClassifier,SMOTE2,geometric mean score,0.31505437508350725
haberman10,GradientBoostingClassifier,SMOTE2,roc auc score,0.742962962962963
haberman10,LogisticRegression,ADASYN,f1 score,0.2166666666666667
haberman10,LogisticRegression,ADASYN,geometric mean score,0.7335289355086426
haberman10,LogisticRegression,ADASYN,roc auc score,0.8377777777777776
haberman10,LogisticRegression,None,f1 score,0.0
haberman10,LogisticRegression,None,geometric mean score,0.0
haberman10,LogisticRegression,None,roc auc score,0.7659259259259259
haberman10,LogisticRegression,RandomOverSampler,f1 score,0.20555555555555557
haberman10,LogisticRegression,RandomOverSampler,geometric mean score,0.7308340223742954
