Dataset,Classifier,Metric,NO OVERSAMPLING,SMOTE,K-MEANS SMOTE
YEAST 1,DT,F1,0.48608927535997076,0.5713452026926971,0.5744839677284548
YEAST 1,DT,GEOMETRIC MEAN SCORE,0.6091377653679785,0.6935854521622742,0.6952760356142063
YEAST 1,GBC,ROC AUC,0.8009779899520466,0.7959579387571722,0.8057112854061557
YEAST 1,GBC,F1,0.5419460791899546,0.596484674141597,0.6032669847659327
YEAST 1,GBC,GEOMETRIC MEAN SCORE,0.6469674885294218,0.7137395010312373,0.7191665800375565
BREAST TISSUE (2),LR,ROC AUC,0.7956809947299077,0.7777709156785244,0.8384078557312253
BREAST TISSUE (2),LR,F1,0.3778409090909091,0.5395078795981203,0.5357478528601524
BREAST TISSUE (2),LR,GEOMETRIC MEAN SCORE,0.5219375144083626,0.7010467146145773,0.6980179475937345
BREAST TISSUE (2),KNN,ROC AUC,0.6856472332015809,0.7341073781291172,0.6856472332015809
BREAST TISSUE (2),KNN,F1,0.38331668331668334,0.4882419135009375,0.4831390200708382
BREAST TISSUE (2),KNN,GEOMETRIC MEAN SCORE,0.5363949818311687,0.6796678140225427,0.6622910853383234
BREAST TISSUE (2),DT,ROC AUC,0.7827785326086957,0.7613842226613966,0.7678534667325427
BREAST TISSUE (2),DT,F1,0.5069362455726091,0.5322932678776332,0.5663681433317129
BREAST TISSUE (2),DT,GEOMETRIC MEAN SCORE,0.6596034528480513,0.7318518198128627,0.7187831635365723
BREAST TISSUE (2),GBC,ROC AUC,0.8060873682476943,0.8191184947299078,0.8464262187088275
BREAST TISSUE (2),GBC,F1,0.5069362455726091,0.4716908091908092,0.5069362455726091
BREAST TISSUE (2),GBC,GEOMETRIC MEAN SCORE,0.6596034528480513,0.6515575224537828,0.6596034528480513
YEAST 6 (2),LR,ROC AUC,0.9505137852044548,0.9611720036493154,0.9643145246710108
YEAST 6 (2),LR,F1,0.0,0.20149559878754966,0.2572836826656745
YEAST 6 (2),LR,GEOMETRIC MEAN SCORE,0.0,0.9249005589757731,0.9364309234280729
YEAST 6 (2),KNN,ROC AUC,0.8481651738932715,0.8654607260782003,0.8481651738932715
YEAST 6 (2),KNN,F1,0.4403168455010201,0.31145502761926647,0.5248511692414931
YEAST 6 (2),KNN,GEOMETRIC MEAN SCORE,0.6174638534166441,0.8277187403489279,0.8365474789953775
YEAST 6 (2),DT,ROC AUC,0.8305937340236529,0.938672716847579,0.8880270958849166
YEAST 6 (2),DT,F1,0.3333333333333333,0.374805591525741,0.46957841799748556
YEAST 6 (2),DT,GEOMETRIC MEAN SCORE,0.4812250806275995,0.8869684206130892,0.8803299370459011
YEAST 6 (2),GBC,ROC AUC,0.9447323599942379,0.9603516491121036,0.9615704766988947
YEAST 6 (2),GBC,F1,0.2099280891913907,0.48227684661859294,0.44104424853160906
YEAST 6 (2),GBC,GEOMETRIC MEAN SCORE,0.4009200828992513,0.8351792616655476,0.8126000603646881
VOWEL (2),LR,ROC AUC,0.9463225716450853,0.968261596626436,0.9729389410442018
VOWEL (2),LR,F1,0.7602077138132282,0.6309659139276023,0.7602077138132282
VOWEL (2),LR,GEOMETRIC MEAN SCORE,0.8198275577066167,0.9033231080426902,0.9004852382508809
VOWEL (2),KNN,ROC AUC,0.910574348807324,0.9353714691720132,0.9110197654252244
VOWEL (2),KNN,F1,0.6486006731522892,0.915770860214492,0.8964062684105102
VOWEL (2),KNN,GEOMETRIC MEAN SCORE,0.6941196318340807,0.9217554423607675,0.9037434404934036
VOWEL (2),DT,ROC AUC,0.928914367557228,0.9483848069031804,0.9583507414251109
VOWEL (2),DT,F1,0.8436712505273719,0.7465116914540512,0.9063822558626272
VOWEL (2),DT,GEOMETRIC MEAN SCORE,0.9242354809849211,0.9320315051937975,0.9571511764460374
VOWEL (2),GBC,ROC AUC,0.998292564705493,0.9966220322011276,0.9983668136157878
VOWEL (2),GBC,F1,0.9290048917319467,0.8544961089915747,0.9171524387294943
VOWEL (2),GBC,GEOMETRIC MEAN SCORE,0.9695734161058358,0.9293708597135169,0.9728269191894636
NEW THYROID 2,LR,ROC AUC,1.0,1.0,1.0
NEW THYROID 2,LR,F1,0.9378015311281237,0.9598817764641829,0.9598817764641829
NEW THYROID 2,LR,GEOMETRIC MEAN SCORE,0.9523705877559329,0.9916078003398072,0.9916078003398072
NEW THYROID 2,KNN,ROC AUC,0.9857963354474982,1.0,0.986046511627907
NEW THYROID 2,KNN,F1,0.8961473451069535,0.9264356640999714,0.9453216146846076
NEW THYROID 2,KNN,GEOMETRIC MEAN SCORE,0.9055197775623588,0.9731384371466854,0.9773508317744879
NEW THYROID 2,DT,ROC AUC,0.9284760394644116,0.970077519379845,0.9445824524312896
NEW THYROID 2,DT,F1,0.8651582444483301,0.9300134816312773,0.8970374115267947
NEW THYROID 2,DT,GEOMETRIC MEAN SCORE,0.9219169582858902,0.9632524243052284,0.9426318946961055
NEW THYROID 2,GBC,ROC AUC,0.9949400986610288,0.9972815362931642,0.9973890063424946
NEW THYROID 2,GBC,F1,0.9154047859791035,0.9300134816312773,0.9300134816312773
NEW THYROID 2,GBC,GEOMETRIC MEAN SCORE,0.9599106957769888,0.9632524243052284,0.9632524243052284
NEW THYROID 1,LR,ROC AUC,1.0,1.0,1.0
NEW THYROID 1,LR,F1,0.9856420626895854,0.9598817764641829,0.9856420626895854
NEW THYROID 1,LR,GEOMETRIC MEAN SCORE,0.9972364990467255,0.9916078003398072,0.9972364990467255
NEW THYROID 1,KNN,ROC AUC,0.970662438336857,0.9959302325581396,0.9716279069767441
NEW THYROID 1,KNN,F1,0.8291706009209069,0.9279838220424672,0.9353808560835861
NEW THYROID 1,KNN,GEOMETRIC MEAN SCORE,0.844067469780016,0.9569704446279995,0.9641066299702581
NEW THYROID 1,DT,ROC AUC,0.9194855532064834,0.9414728682170542,0.9523255813953488
NEW THYROID 1,DT,F1,0.8748046695468333,0.8954718614718615,0.9105741336519901
NEW THYROID 1,DT,GEOMETRIC MEAN SCORE,0.9164482084842418,0.9375315868002667,0.9386269003947844
NEW THYROID 1,GBC,ROC AUC,0.9683016208597605,0.9913953488372094,0.9922903453136012
NEW THYROID 1,GBC,F1,0.8945254947277194,0.8981973220577872,0.9119570119802678
NEW THYROID 1,GBC,GEOMETRIC MEAN SCORE,0.9202167365431325,0.9443541729264879,0.9471294340944822
HEART (3),LR,ROC AUC,0.896266049739734,0.8959005205320995,0.896266049739734
HEART (3),LR,F1,0.6988380041011619,0.7033747425243269,0.7327651208440682
HEART (3),LR,GEOMETRIC MEAN SCORE,0.7705020639105353,0.8270033256486751,0.8248856190925469
HEART (3),KNN,ROC AUC,0.64644997108155,0.6638866396761134,0.6574664545980335
HEART (3),KNN,F1,0.30542510121457495,0.4082223040117777,0.4201680350710822
HEART (3),KNN,GEOMETRIC MEAN SCORE,0.4666517856646171,0.6164397936961329,0.6296233488322318
HEART (3),DT,ROC AUC,0.8035234239444766,0.7893744939271254,0.8002076344707925
HEART (3),DT,F1,0.5953333333333334,0.5821154856321097,0.639361193937853
HEART (3),DT,GEOMETRIC MEAN SCORE,0.7262345774016368,0.7088386701855065,0.7527304095141822
HEART (3),GBC,ROC AUC,0.865351069982649,0.8900578368999421,0.8830477154424523
HEART (3),GBC,F1,0.6663859649122807,0.7292481940059468,0.6829474297632193
HEART (3),GBC,GEOMETRIC MEAN SCORE,0.7634254026720086,0.8104882391307007,0.7849359211640676
SEGMENTATION (2),LR,ROC AUC,0.9994582185491276,0.9994765840220386,0.9995959595959596
SEGMENTATION (2),LR,F1,0.9908812899638587,0.984930384930385,0.9908812899638587
SEGMENTATION (2),LR,GEOMETRIC MEAN SCORE,0.9936612785198116,0.993160460749486,0.9959470437139931
SEGMENTATION (2),KNN,ROC AUC,0.9799449035812672,0.9897061524334252,0.9834710743801652
SEGMENTATION (2),KNN,F1,0.9049206609462389,0.8977979941821048,0.9060189290152989
SEGMENTATION (2),KNN,GEOMETRIC MEAN SCORE,0.946222795127733,0.9776834589273735,0.9728026031755428
SEGMENTATION (2),DT,ROC AUC,0.9823232323232323,0.9835629017447199,0.9820707070707071
SEGMENTATION (2),DT,F1,0.9724770642201833,0.9652167865470618,0.9724770642201833
SEGMENTATION (2),DT,GEOMETRIC MEAN SCORE,0.9821732006591775,0.9830487488079469,0.9819398355147151
SEGMENTATION (2),GBC,ROC AUC,0.9976078971533517,0.9988613406795225,0.9993296602387511
SEGMENTATION (2),GBC,F1,0.9725872383364738,0.9755336376131482,0.9800090610488164
SEGMENTATION (2),GBC,GEOMETRIC MEAN SCORE,0.9808832279293551,0.9847250026209096,0.9854635999786958
PAGE BLOCKS 1 3,LR,ROC AUC,0.9879520410240749,0.9818144945793251,0.9879520410240749
PAGE BLOCKS 1 3,LR,F1,0.6563462390605961,0.7016040487392735,0.693625682618739
PAGE BLOCKS 1 3,LR,GEOMETRIC MEAN SCORE,0.7874000362894985,0.9575694780840454,0.9564359841319952
PAGE BLOCKS 1 3,KNN,ROC AUC,0.9460246793403573,0.9901368529546496,0.9499685066422354
PAGE BLOCKS 1 3,KNN,F1,0.7441935064372103,0.6952585918134924,0.7441935064372103
PAGE BLOCKS 1 3,KNN,GEOMETRIC MEAN SCORE,0.876060835623404,0.9637892804342272,0.9129548215620129
PAGE BLOCKS 1 3,DT,ROC AUC,0.9429329223291087,0.9642779431974348,0.9642779431974348
PAGE BLOCKS 1 3,DT,F1,0.8932852523257296,0.9295433145009416,0.9295433145009416
PAGE BLOCKS 1 3,DT,GEOMETRIC MEAN SCORE,0.9401558978457544,0.9624048244182076,0.9624048244182076
PAGE BLOCKS 1 3,GBC,ROC AUC,0.9983143896014659,0.9968406436097114,0.998322581055632
PAGE BLOCKS 1 3,GBC,F1,0.912160521359897,0.9295433145009416,0.9295433145009416
PAGE BLOCKS 1 3,GBC,GEOMETRIC MEAN SCORE,0.9604822944394724,0.9624048244182076,0.9624048244182076
YEAST 4,LR,ROC AUC,0.8828448343290102,0.8890844747762201,0.8839122775665526
YEAST 4,LR,F1,0.0,0.26972384140787065,0.3879925275983367
YEAST 4,LR,GEOMETRIC MEAN SCORE,0.0,0.8006889571844331,0.8483628911742271
YEAST 4,KNN,ROC AUC,0.8280659598169596,0.8609772519960626,0.8330840998038209
YEAST 4,KNN,F1,0.18259697644439235,0.35600606034003446,0.40688844820922365
