Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,K-MEANS RANDOM OVERSAMPLING
SEGMENTATION (2),LR,GEOMETRIC MEAN SCORE,0.9936612785198116,0.9927846097155424,0.9956965398330059
SEGMENTATION (2),KNN,ROC AUC,0.9799449035812672,0.9813636363636364,0.9815541781450872
SEGMENTATION (2),KNN,F1,0.9049206609462389,0.8928801767796914,0.9053128564991899
SEGMENTATION (2),KNN,GEOMETRIC MEAN SCORE,0.946222795127733,0.9707058142288015,0.9707058142288015
SEGMENTATION (2),DT,ROC AUC,0.9823232323232323,0.9823232323232324,0.9820707070707071
SEGMENTATION (2),DT,F1,0.9724770642201833,0.96507822807517,0.9724770642201833
SEGMENTATION (2),DT,GEOMETRIC MEAN SCORE,0.9821732006591775,0.9821881034031389,0.9819398355147151
SEGMENTATION (2),GBC,ROC AUC,0.9976078971533517,0.9977456382001837,0.9992607897153353
SEGMENTATION (2),GBC,F1,0.9725872383364738,0.9739466739466739,0.9784511784511785
SEGMENTATION (2),GBC,GEOMETRIC MEAN SCORE,0.9808832279293551,0.9829356612250548,0.9866274497255105
PAGE BLOCKS 1 3,LR,ROC AUC,0.9879520410240749,0.9826649742963303,0.9879520410240749
PAGE BLOCKS 1 3,LR,F1,0.6563462390605961,0.6752795753594614,0.7188207868034693
PAGE BLOCKS 1 3,LR,GEOMETRIC MEAN SCORE,0.7874000362894985,0.9540707103214743,0.9558413254625877
PAGE BLOCKS 1 3,KNN,ROC AUC,0.9460246793403573,0.9499685066422354,0.9500309366569959
PAGE BLOCKS 1 3,KNN,F1,0.7441935064372103,0.7044205417934232,0.7441935064372103
PAGE BLOCKS 1 3,KNN,GEOMETRIC MEAN SCORE,0.876060835623404,0.9124515883697624,0.9135486481498158
PAGE BLOCKS 1 3,DT,ROC AUC,0.9429329223291087,0.9642779431974348,0.9642779431974348
PAGE BLOCKS 1 3,DT,F1,0.8932852523257296,0.9295433145009416,0.9295433145009416
PAGE BLOCKS 1 3,DT,GEOMETRIC MEAN SCORE,0.9401558978457544,0.9624048244182076,0.9624048244182076
PAGE BLOCKS 1 3,GBC,ROC AUC,0.9983143896014659,0.9968406436097114,0.998322581055632
PAGE BLOCKS 1 3,GBC,F1,0.912160521359897,0.9295433145009416,0.9295433145009416
PAGE BLOCKS 1 3,GBC,GEOMETRIC MEAN SCORE,0.9604822944394724,0.9624048244182076,0.9624048244182076
YEAST 4,LR,ROC AUC,0.8828448343290102,0.8830707621656932,0.8839122775665526
YEAST 4,LR,F1,0.0,0.2742695261193227,0.3862717921343398
YEAST 4,LR,GEOMETRIC MEAN SCORE,0.0,0.8184106923680539,0.8483628911742271
YEAST 4,KNN,ROC AUC,0.8280659598169596,0.8305288656934126,0.8327968619096657
YEAST 4,KNN,F1,0.18259697644439235,0.3864403656441879,0.40688844820922365
YEAST 4,KNN,GEOMETRIC MEAN SCORE,0.3342159754589894,0.744093524862502,0.745977513214604
YEAST 4,DT,ROC AUC,0.7864619770019292,0.77703184709717,0.8538652818957789
YEAST 4,DT,F1,0.29770065150328184,0.21824539230327963,0.33718872686457624
YEAST 4,DT,GEOMETRIC MEAN SCORE,0.4897804885004718,0.7392221190263362,0.7417863078613137
YEAST 4,GBC,ROC AUC,0.9268708506339867,0.9012668948284042,0.926932428896204
