Dataset,Classifier,Metric,NO OVERSAMPLING,BORDERLINE-SMOTE,K-MEANS BORDERLINE-SMOTE
YEAST 6 (2),DT,ROC AUC,0.8305937340236529,0.8721004253768654,0.8880270958849166
YEAST 6 (2),DT,F1,0.3333333333333333,0.335217026816079,0.46957841799748556
YEAST 6 (2),DT,GEOMETRIC MEAN SCORE,0.4812250806275995,0.6733799805636813,0.8803299370459011
YEAST 6 (2),GBC,ROC AUC,0.9447323599942379,0.933813506421609,0.963253695214369
YEAST 6 (2),GBC,F1,0.2099280891913907,0.39989736843420337,0.4380854934060937
YEAST 6 (2),GBC,GEOMETRIC MEAN SCORE,0.4009200828992513,0.6168601308128043,0.8126010641354862
VOWEL (2),LR,ROC AUC,0.9463225716450853,0.9625819835412257,0.9769850958361264
VOWEL (2),LR,F1,0.7602077138132282,0.6479946705821573,0.7619341659547165
VOWEL (2),LR,GEOMETRIC MEAN SCORE,0.8198275577066167,0.8976539985733248,0.8981018673844465
VOWEL (2),KNN,ROC AUC,0.910574348807324,0.9214509068167603,0.9110197654252244
VOWEL (2),KNN,F1,0.6486006731522892,0.8964062684105102,0.8964062684105102
VOWEL (2),KNN,GEOMETRIC MEAN SCORE,0.6941196318340807,0.9037434404934036,0.9037434404934036
VOWEL (2),DT,ROC AUC,0.928914367557228,0.9506872354058715,0.9583507414251109
VOWEL (2),DT,F1,0.8436712505273719,0.7614920375259717,0.9063822558626272
VOWEL (2),DT,GEOMETRIC MEAN SCORE,0.9242354809849211,0.932475778041183,0.9571511764460374
VOWEL (2),GBC,ROC AUC,0.998292564705493,0.9979212373990833,0.998737963590193
VOWEL (2),GBC,F1,0.9290048917319467,0.8941075144960957,0.921015102204995
VOWEL (2),GBC,GEOMETRIC MEAN SCORE,0.9695734161058358,0.9488896370667774,0.9616900842582343
NEW THYROID 2,LR,ROC AUC,1.0,1.0,1.0
NEW THYROID 2,LR,F1,0.9378015311281237,0.9598817764641829,0.9617217969088545
NEW THYROID 2,LR,GEOMETRIC MEAN SCORE,0.9523705877559329,0.9916078003398072,0.9916078003398072
NEW THYROID 2,KNN,ROC AUC,0.9857963354474982,0.9851162790697675,0.986046511627907
NEW THYROID 2,KNN,F1,0.8961473451069535,0.8791277866050364,0.9576865520728008
NEW THYROID 2,KNN,GEOMETRIC MEAN SCORE,0.9055197775623588,0.943215752695747,0.980177106979494
NEW THYROID 2,DT,ROC AUC,0.9284760394644116,0.9730373502466526,0.9253858350951374
NEW THYROID 2,DT,F1,0.8651582444483301,0.9501432423323222,0.880525783619818
NEW THYROID 2,DT,GEOMETRIC MEAN SCORE,0.9219169582858902,0.9726375784663086,0.9194911983528061
NEW THYROID 2,GBC,ROC AUC,0.9949400986610288,0.9984443269908387,0.9960570824524313
NEW THYROID 2,GBC,F1,0.9154047859791035,0.9579204583754634,0.9221267273340075
NEW THYROID 2,GBC,GEOMETRIC MEAN SCORE,0.9599106957769888,0.9801925090986919,0.9599106957769888
NEW THYROID 1,LR,ROC AUC,1.0,1.0,1.0
NEW THYROID 1,LR,F1,0.9856420626895854,0.9598817764641829,0.9856420626895854
NEW THYROID 1,LR,GEOMETRIC MEAN SCORE,0.9972364990467255,0.9916078003398072,0.9972364990467255
NEW THYROID 1,KNN,ROC AUC,0.970662438336857,0.9893023255813953,0.9716279069767441
NEW THYROID 1,KNN,F1,0.8291706009209069,0.8964665125908806,0.9288001348163127
NEW THYROID 1,KNN,GEOMETRIC MEAN SCORE,0.844067469780016,0.9304750779338026,0.962713119278901
NEW THYROID 1,DT,ROC AUC,0.9194855532064834,0.9470542635658915,0.940077519379845
NEW THYROID 1,DT,F1,0.8748046695468333,0.8981973220577872,0.8909415081042988
NEW THYROID 1,DT,GEOMETRIC MEAN SCORE,0.9164482084842418,0.9443541729264879,0.9372853422807123
NEW THYROID 1,GBC,ROC AUC,0.9683016208597605,0.9853100775193799,0.9888407329105005
NEW THYROID 1,GBC,F1,0.8945254947277194,0.8981973220577872,0.9048357692189846
NEW THYROID 1,GBC,GEOMETRIC MEAN SCORE,0.9202167365431325,0.9443541729264879,0.9344510759682646
HEART (3),LR,ROC AUC,0.896266049739734,0.8936772700983227,0.8969063042220937
HEART (3),LR,F1,0.6988380041011619,0.7121516679688424,0.7313310227783911
HEART (3),LR,GEOMETRIC MEAN SCORE,0.7705020639105353,0.833196735139424,0.8264503001757394
HEART (3),KNN,ROC AUC,0.64644997108155,0.6533788316946212,0.6545332562174667
HEART (3),KNN,F1,0.30542510121457495,0.4054820199384076,0.4146542827657379
HEART (3),KNN,GEOMETRIC MEAN SCORE,0.4666517856646171,0.6113244311155617,0.6195829689636787
HEART (3),DT,ROC AUC,0.8035234239444766,0.7695919606709081,0.8002076344707925
HEART (3),DT,F1,0.5953333333333334,0.5829084014143437,0.6484910017518712
HEART (3),DT,GEOMETRIC MEAN SCORE,0.7262345774016368,0.71282427425434,0.7703172335745623
HEART (3),GBC,ROC AUC,0.865351069982649,0.8801972238288027,0.882155002891845
HEART (3),GBC,F1,0.6663859649122807,0.6979323308270677,0.6836220392879431
HEART (3),GBC,GEOMETRIC MEAN SCORE,0.7634254026720086,0.7873676094070364,0.7849359211640676
SEGMENTATION (2),LR,ROC AUC,0.9994582185491276,0.9995316804407713,0.9996969696969696
SEGMENTATION (2),LR,F1,0.9908812899638587,0.984930384930385,0.9908812899638587
SEGMENTATION (2),LR,GEOMETRIC MEAN SCORE,0.9936612785198116,0.993160460749486,0.9959470437139931
SEGMENTATION (2),KNN,ROC AUC,0.9799449035812672,0.9872887970615243,0.9816207529843893
