Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
SEGMENTATION (2),LR,GEOMETRIC MEAN SCORE,2.0,4.0,2.0,2.0
SEGMENTATION (2),KNN,ROC AUC,4.0,3.0,2.0,1.0
SEGMENTATION (2),KNN,F1,4.0,3.0,2.0,1.0
SEGMENTATION (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
SEGMENTATION (2),DT,ROC AUC,2.0,3.0,4.0,1.0
SEGMENTATION (2),DT,F1,1.0,4.0,3.0,2.0
SEGMENTATION (2),DT,GEOMETRIC MEAN SCORE,2.0,4.0,3.0,1.0
SEGMENTATION (2),GBC,ROC AUC,4.0,3.0,2.0,1.0
SEGMENTATION (2),GBC,F1,2.0,3.0,4.0,1.0
SEGMENTATION (2),GBC,GEOMETRIC MEAN SCORE,2.0,3.0,4.0,1.0
PAGE BLOCKS 1 3,LR,ROC AUC,1.0,4.0,2.0,3.0
PAGE BLOCKS 1 3,LR,F1,2.0,3.0,4.0,1.0
PAGE BLOCKS 1 3,LR,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
PAGE BLOCKS 1 3,KNN,ROC AUC,3.0,4.0,1.0,2.0
PAGE BLOCKS 1 3,KNN,F1,3.0,4.0,2.0,1.0
PAGE BLOCKS 1 3,KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
PAGE BLOCKS 1 3,DT,ROC AUC,4.0,3.0,1.0,2.0
PAGE BLOCKS 1 3,DT,F1,4.0,2.0,1.0,3.0
PAGE BLOCKS 1 3,DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PAGE BLOCKS 1 3,GBC,ROC AUC,2.0,3.5,3.5,1.0
PAGE BLOCKS 1 3,GBC,F1,1.0,3.0,3.0,3.0
PAGE BLOCKS 1 3,GBC,GEOMETRIC MEAN SCORE,4.0,2.0,2.0,2.0
YEAST 4,LR,ROC AUC,4.0,3.0,1.0,2.0
YEAST 4,LR,F1,4.0,3.0,2.0,1.0
YEAST 4,LR,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 4,KNN,ROC AUC,3.0,4.0,1.0,2.0
YEAST 4,KNN,F1,4.0,3.0,2.0,1.0
YEAST 4,KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
YEAST 4,DT,ROC AUC,3.0,4.0,2.0,1.0
YEAST 4,DT,F1,2.0,4.0,3.0,1.0
YEAST 4,DT,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
