Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
YEAST 1,GBC,F1,0.5509404731343435,0.6138993967030673,0.6083673310137678,0.5977779892478818
YEAST 1,GBC,GEOMETRIC MEAN SCORE,0.6518552076213582,0.729883486239344,0.7207181804776772,0.7000391865230955
BREAST TISSUE (2),LR,ROC AUC,0.9119935770750989,0.8989418642951252,0.9049324769433464,0.9298418972332017
BREAST TISSUE (2),LR,F1,0.5445936639118457,0.62277183600713,0.6268691062725154,0.6151919967384394
BREAST TISSUE (2),LR,GEOMETRIC MEAN SCORE,0.6324273674809966,0.8003422370335033,0.7915427089588893,0.7654894219331959
BREAST TISSUE (2),KNN,ROC AUC,0.6610877799736494,0.6795176630434783,0.734184576745718,0.7087759387351779
BREAST TISSUE (2),KNN,F1,0.4481060606060607,0.40057960830019657,0.5088532382650031,0.5313720370538553
BREAST TISSUE (2),KNN,GEOMETRIC MEAN SCORE,0.5917784083289175,0.6097041623180424,0.714160838145244,0.6943900190878234
BREAST TISSUE (2),DT,ROC AUC,0.7831851119894598,0.7311738306982872,0.7800971673254282,0.7906270586297761
BREAST TISSUE (2),DT,F1,0.6317148760330579,0.520500333000333,0.5757227249874308,0.6334187462863934
BREAST TISSUE (2),DT,GEOMETRIC MEAN SCORE,0.7785783216177727,0.7159165321583509,0.7566528910911032,0.7706685352473301
BREAST TISSUE (2),GBC,ROC AUC,0.845211627140975,0.851181653491436,0.8398849225955204,0.9047472002635046
BREAST TISSUE (2),GBC,F1,0.5140151515151515,0.5464001907183724,0.5448957068649054,0.6539299242424244
BREAST TISSUE (2),GBC,GEOMETRIC MEAN SCORE,0.6519107108406451,0.6904169698954172,0.7201171591918087,0.7872301100564822
YEAST 6 (2),LR,ROC AUC,0.9484021534350736,0.955102757040891,0.9579788526122828,0.9613317318148565
YEAST 6 (2),LR,F1,0.0,0.17284858562456307,0.2028111360534716,0.2436854232370529
YEAST 6 (2),LR,GEOMETRIC MEAN SCORE,0.0,0.886921680496638,0.9220964458120298,0.9296952882386309
YEAST 6 (2),KNN,ROC AUC,0.84754137256065,0.8480969610692607,0.8435966800267767,0.9481134493657479
YEAST 6 (2),KNN,F1,0.4387335152341974,0.47383837573228477,0.33211493376460705,0.5391649639181941
YEAST 6 (2),KNN,GEOMETRIC MEAN SCORE,0.6250263495559272,0.7899532177220606,0.7843105031114057,0.8417362971973581
YEAST 6 (2),DT,ROC AUC,0.8051328384725976,0.818065735695785,0.827061637277249,0.9113118893681205
YEAST 6 (2),DT,F1,0.41522979067317406,0.4053030910987736,0.33560196977130224,0.4752452413434678
YEAST 6 (2),DT,GEOMETRIC MEAN SCORE,0.644866853155381,0.7872461971049585,0.7632273073329559,0.8543000796611763
YEAST 6 (2),GBC,ROC AUC,0.9544989393823844,0.9274923454760633,0.9495926296255497,0.9549767469120634
YEAST 6 (2),GBC,F1,0.3666687337219397,0.4920627661333664,0.4468357729106265,0.5785054872367287
YEAST 6 (2),GBC,GEOMETRIC MEAN SCORE,0.580712811964267,0.7709843769007542,0.7735722635628755,0.8111181511367846
VOWEL (2),LR,ROC AUC,0.9670394303623129,0.9735354267967575,0.9719765070560404,0.9701198409686583
VOWEL (2),LR,F1,0.7051677413325858,0.5649771367705827,0.5621421932255408,0.7203100763564434
VOWEL (2),LR,GEOMETRIC MEAN SCORE,0.7668646524122593,0.9040386143485288,0.8735623115118563,0.8706617774939085
VOWEL (2),KNN,ROC AUC,0.899858607281725,0.899858607281725,0.9220572640509014,0.9327252618898154
