Dataset,Classifier,Metric,NO OVERSAMPLING,G-SMOTE,K-MEANS G-SMOTE
HEART (3),LR,ROC AUC,0.896266049739734,0.8946975130133026,0.8976714864083286
HEART (3),LR,F1,0.6988380041011619,0.7023724816447725,0.728654970760234
HEART (3),LR,GEOMETRIC MEAN SCORE,0.7705020639105353,0.8350033355553728,0.8293857391508038
HEART (3),KNN,ROC AUC,0.64644997108155,0.6621596298438405,0.6589823597455178
HEART (3),KNN,F1,0.30542510121457495,0.4139268602426497,0.4225999576618772
HEART (3),KNN,GEOMETRIC MEAN SCORE,0.4666517856646171,0.6208681949729906,0.6310411993566463
HEART (3),DT,ROC AUC,0.8035234239444766,0.8189074609600925,0.8108429728166571
HEART (3),DT,F1,0.5953333333333334,0.6076336852317551,0.6157061550196561
HEART (3),DT,GEOMETRIC MEAN SCORE,0.7262345774016368,0.7302731813291885,0.7500710476245444
HEART (3),GBC,ROC AUC,0.865351069982649,0.884386061307114,0.8734788895315211
HEART (3),GBC,F1,0.6663859649122807,0.7246259587094828,0.6991376224843044
HEART (3),GBC,GEOMETRIC MEAN SCORE,0.7634254026720086,0.808898539908479,0.7890582402140597
SEGMENTATION (2),LR,ROC AUC,0.9994582185491276,0.9996280991735538,0.9997474747474747
SEGMENTATION (2),LR,F1,0.9908812899638587,0.9821414334688672,0.9908812899638587
SEGMENTATION (2),LR,GEOMETRIC MEAN SCORE,0.9936612785198116,0.9956965398330059,0.9958230422836836
SEGMENTATION (2),KNN,ROC AUC,0.9799449035812672,0.9902892561983472,0.9892263544536273
SEGMENTATION (2),KNN,F1,0.9049206609462389,0.8941606057496883,0.9096565261719527
SEGMENTATION (2),KNN,GEOMETRIC MEAN SCORE,0.946222795127733,0.9761506469048524,0.9768060770253579
SEGMENTATION (2),DT,ROC AUC,0.9823232323232323,0.9914761248852157,0.9930601469237832
SEGMENTATION (2),DT,F1,0.9724770642201833,0.9619042413915442,0.9724770642201833
SEGMENTATION (2),DT,GEOMETRIC MEAN SCORE,0.9821732006591775,0.9911485587918261,0.9914102724680851
SEGMENTATION (2),GBC,ROC AUC,0.9976078971533517,0.999880624426079,0.9998668503213957
SEGMENTATION (2),GBC,F1,0.9725872383364738,0.9835631831044673,0.984929884012453
SEGMENTATION (2),GBC,GEOMETRIC MEAN SCORE,0.9808832279293551,0.9967129243907324,0.9951910162118409
PAGE BLOCKS 1 3,LR,ROC AUC,0.9879520410240749,0.987843563902886,0.9879520410240749
PAGE BLOCKS 1 3,LR,F1,0.6563462390605961,0.719310523516032,0.7266010997109007
PAGE BLOCKS 1 3,LR,GEOMETRIC MEAN SCORE,0.7874000362894985,0.960883360458348,0.9598604210591684
PAGE BLOCKS 1 3,KNN,ROC AUC,0.9460246793403573,0.9865066867715172,0.9499685066422354
